product_id,product_name,jumlah_hari_transaksi,total_unit_terjual,rata2_per_transaksi
GRT001,Gerit,7,88.0,12.571428571428571
GPK001,Gopek,7,85.0,12.142857142857142
TLR4,TELUR 1/4,7,84.0,12.0
SNC001,Sunco 1L,7,82.0,11.714285714285714
CLR001,Chocolatos rich,7,81.0,11.571428571428571
TLA001,Tolak angin,7,58.0,8.285714285714286
KRM02,Kurma 1/2,7,31.0,4.428571428571429
PTB001,Potabe,6,221.0,36.833333333333336
HDP001,Handsaplast,6,153.0,25.5
PB001,Permen bola,6,144.0,24.0
STB001,scotch brite,6,82.0,13.666666666666666
TM001,Tisu montis,6,68.0,11.333333333333334
PT001,Petis 1/4,6,57.0,9.5
BTH001,Bonteh,6,10.0,1.6666666666666667
PTN001,Pantene,5,208.0,41.6
PT1/2,Plastik 1/2,5,149.0,29.8
PJ001,Permen jumbo,5,119.0,23.8
RK001,Roma kelapa,5,107.0,21.4
CTT001,Chitato,5,101.0,20.2
RTP001,Roti Pia,5,101.0,20.2
KPS001,Kerupuk pedas,5,74.0,14.8
GSL002,Garuda slondok,5,67.0,13.4
TSJ001,Tepung sajiku,5,65.0,13.0
TGS02,T. segitiga 1/2,5,63.0,12.6
JLI01,Jelly Inaco 1/2,5,62.0,12.4
GG02,GentleGen 10,5,61.0,12.2
PDS001,Pepsodent siwak,5,51.0,10.2
NO001,Neo mineral,5,46.0,9.2
GG001,Gentle gen,5,40.0,8.0
TLC001,Toilet cleaner,5,37.0,7.4
BG001,Bunga gem 1/2,5,29.0,5.8
RIS001,Roti isi selai,5,28.0,5.6
FTG002,Fruta gummy 1,5,26.0,5.2
RMB001,Rambak,5,16.0,3.2
DNY002,Downy 2,4,193.0,48.25
SBE001,EKONOMI COLEK,4,147.0,36.75
TGJP001,Tepung Jempol,4,106.0,26.5
MS001,Milo sachet,4,99.0,24.75
GDY001,Good day,4,72.0,18.0
BHJ01,Bihun jagung,4,63.0,15.75
TTL001,Tepung tulip,4,63.0,15.75
KB001,Kuah Bakso,4,60.0,15.0
TLR4,telur 1/4,4,56.0,14.0
TSN001,TISU NICE,4,48.0,12.0
GL1001,GULA 1KG,4,42.0,10.5
MZ001,Minyak Rizky,4,39.0,9.75
CBK001,Cokelat box kecil,4,34.0,8.5
KGK001,KINGKONG,4,33.0,8.25
KSM004,Samiler 1/4,4,26.0,6.5
KSM02,Samiler 1/2,4,19.0,4.75
PSD001,Pepsodent,4,15.0,3.75
STT001,Satelit,4,14.0,3.5
SK3,Sus kering 1/2,4,12.0,3.0
CM001,Clevo milk,3,142.0,47.333333333333336
GRR005,goriorio,3,136.0,45.333333333333336
CLV001,CLEVO,3,129.0,43.0
GR003,Gery 500,3,94.0,31.333333333333332
KBS001,Kapur bagus,3,86.0,28.666666666666668
BHJ01,Bihun Jagung,3,82.0,27.333333333333332
BKT001,Biskuat,3,82.0,27.333333333333332
RPK001,RAPIKA,3,82.0,27.333333333333332
MKE001,Mie Eko,3,80.0,26.666666666666668
DLC001,Dilan cookies,3,67.0,22.333333333333332
SSB001,Santan sasa bubuk,3,64.0,21.333333333333332
BRS1,beras 1kg,3,53.0,17.666666666666668
PT1001,Plastik 1kg,3,48.0,16.0
TGV001,Tepung virgo,3,48.0,16.0
SZ001,Super zet,3,47.0,15.666666666666666
TGB01,Tepung bakwan,3,47.0,15.666666666666666
PC001,Prochiz lembar,3,45.0,15.0
CLV001,Clevo,3,44.0,14.666666666666666
